ChipsetID,Name
1,GeForce RTX 3060 12GB
2,GeForce RTX 4070
3,Radeon RX 6700 XT
4,GeForce RTX 4070 Ti
5,Radeon RX 6950 XT
6,Radeon RX 6800 XT
7,Radeon RX 6600
8,GeForce RTX 4090
9,Radeon RX 7900 XTX
10,RTX 6000 Ada Generation
11,GeForce RTX 3060 Ti
12,Radeon RX 580
13,GeForce RTX 4060 Ti
14,Radeon RX 6650 XT
15,GeForce RTX 4060
16,Radeon RX 7900 XT
17,GeForce RTX 4080
18,Radeon RX 6800
19,Radeon RX 6700
20,Radeon RX 6750 XT
21,GeForce RTX 3070 Ti
22,GeForce GTX 1660 SUPER
23,Arc A750
24,GeForce RTX 2060
25,GeForce RTX 3070
26,Radeon RX 7600
27,GeForce RTX 3070 LHR
28,GeForce GTX 1650 G6
29,GeForce RTX 3080 10GB
30,GeForce RTX 3060 Ti LHR
31,GeForce RTX 3090
32,Radeon R7 240
33,GeForce RTX 3060 8GB
34,GeForce RTX 3050 8GB
35,Radeon RX 6600 XT
36,Radeon RX 6900 XT
37,GeForce RTX 3080 Ti
38,Arc A770
39,Arc A380
40,GeForce GT 730
41,GeForce RTX 3080 10GB LHR
42,GeForce GTX 1050 Ti
43,GeForce RTX 3090 Ti
44,Radeon RX 6500 XT
45,Radeon RX 7700 XT
46,RTX A6000
47,GeForce RTX 2070 SUPER
48,GeForce RTX 2060 SUPER
49,Radeon RX 5700 XT
50,Radeon RX 7800 XT
51,GeForce GT 1030
52,GeForce GTX 1660
53,GeForce GTX 1650 SUPER
54,GeForce GTX 1070
55,GeForce RTX 2080 Ti
56,Radeon RX 5600 XT
57,Radeon RX 6400
58,GeForce GT 710
59,GeForce RTX 3080 12GB LHR
60,Radeon RX 550 - 512
61,GeForce GTX 1660 Ti
62,GeForce RTX 2080 SUPER
63,GeForce GT 1030 DDR4
64,GeForce GTX 1050
65,Quadro RTX 8000
66,GeForce GTX 1080
67,GeForce GTX 1630
68,Radeon PRO W7900
69,GeForce GTX 1060 6GB
70,GeForce GTX 1650 G5
71,RTX A4000
72,GeForce GTX 1060 3GB
73,TITAN RTX
74,Radeon RX 570
75,RTX A2000 12GB
76,RTX A2000 6GB
77,RTX A4500
78,Radeon HD 5450
79,Radeon RX 470
80,Radeon RX 5500 XT
81,Quadro RTX 4000
82,GeForce RTX 2070
83,Quadro NVS 420
84,Quadro RTX 5000
85,RTX A5000
86,RTX 4000 SFF Ada Generation
87,T1000 8GB
88,GeForce GTX 1080 Ti
89,Radeon RX 590
90,Quadro P4000
91,Radeon Pro WX 7100
92,Quadro P2000
93,Titan V
94,Quadro M2000
95,Radeon Pro WX 3200
96,Radeon PRO W6800
97,Radeon RX 480
98,Radeon PRO W6400
99,Radeon Pro WX 4100
100,Radeon HD 7970
101,Quadro P1000
102,Quadro K6000
103,GeForce GTX 1070 Ti
104,Quadro RTX 6000
105,GeForce GTX 770
106,Quadro K420
107,T400 4GB
108,Radeon PRO W7800
109,Quadro P620
110,Radeon Pro WX 3100
111,FirePro W7100
112,Quadro P5000
113,Radeon Pro W5500
114,Radeon Pro WX 5100
115,GeForce GTX Titan X
116,Radeon PRO W6600
117,Quadro P400
118,GeForce GTX 780 Ti
119,Quadro P2200
120,T1000 4GB
121,Radeon Pro W5700
122,Radeon Pro VII
123,Radeon R9 290X
124,Radeon HD 7750
125,Quadro K2200
126,Quadro NVS 295
127,Radeon Pro WX 2100
128,Quadro P600
129,Radeon Pro WX 9100
130,Quadro K600
131,Radeon HD 4670
132,Radeon RX 560 - 1024
133,GeForce 7200 GS
134,Radeon RX 560 - 896
135,Radeon HD 6570
136,GeForce GTX 480
137,Quadro K4200
138,GeForce GTX 650
139,Quadro K4000
140,Radeon R9 270X
141,Quadro K1200
142,T400 2GB
143,Quadro K2000
144,FirePro W4100
145,GeForce GTX 760
146,GeForce GTX 950
147,Quadro 6000
148,Quadro 2000D
149,Quadro 4000
150,Quadro M5000
151,GeForce 8400 GS
152,Radeon HD 6670
153,Quadro 5000
154,GeForce GT 740
155,FirePro 2270
156,Radeon HD 4350
157,FirePro W2100
158,Quadro 400
159,GeForce GTS 250
160,FirePro W9100
161,GeForce 9500 GT
162,FirePro W9000
163,GeForce GT 610
164,FirePro S9150
165,FirePro 2460
166,Radeon HD 6450
167,FirePro V3800
168,FirePro S9050
169,Quadro NVS 450
170,GeForce 9400 GT
171,GeForce GTX 460
172,GeForce GTX 980
173,FirePro W5000
174,FirePro S7000
175,Quadro 410
176,Radeon HD 7950
177,Quadro K5000
178,FirePro W7000
179,FirePro 2450
180,FirePro W600
181,Radeon Pro WX 8200
182,GeForce GT 640
183,FirePro V7900 SDI
184,FirePro V5700
185,Quadro K2000D
186,FirePro W5100
187,GeForce GTX 680
188,FirePro V3900
189,GeForce GTX 670
190,GeForce GT 620
191,FirePro RG220A
192,FirePro V8800
193,Radeon R9 280X
194,FirePro W8000
195,Ryzen 5 5600X
196,Ryzen 7 7800X3D
197,Core i7-13700K
198,Ryzen 7 5800X
199,Ryzen 5 7600X
200,Core i9-13900K
201,Ryzen 5 5600
202,Core i5-12400F
203,Core i5-12600K
204,Ryzen 7 7700X
205,Ryzen 5 7600
206,Ryzen 5 3600
207,Core i5-13600K
208,Ryzen 5 5500
209,Ryzen 7 5800X3D
210,Core i7-12700K
211,Ryzen 7 5700X
212,Ryzen 5 5600G
213,Ryzen 9 7950X3D
214,Core i5-13600KF
215,Core i3-12100F
216,Ryzen 9 7900X
217,Core i5-13400F
218,Ryzen 9 5900X
219,Core i9-12900K
220,Core i9-13900KS
221,Ryzen 7 5700G
222,Ryzen 9 7950X
223,Core i7-13700KF
224,Ryzen 5 4500
225,Ryzen 7 3700X
226,Ryzen 7 7700
227,Core i7-12700KF
228,Core i5-12600KF
229,Core i5-13500
230,Core i9-13900KF
231,Core i5-10400F
232,Ryzen 9 5950X
233,Core i3-13100F
234,Ryzen 5 4600G
235,Ryzen 9 7900X3D
236,Ryzen 3 4100
237,Core i3-10100F
238,Core i7-9700K
239,Core i5-13400
240,Core i5-12400
241,Ryzen 5 2600
242,Core i7-8700K
243,Core i5-11400F
244,Core i7-13700F
245,Ryzen 9 7900
246,Ryzen 5 3600X
247,Ryzen 9 3900X
248,Core i9-9900K
249,Core i7-10700K
250,Ryzen 7 2700X
251,Core i7-7700K
252,Ryzen 3 3200G
253,Core i3-12100
254,Core i5-9400F
255,Core i7-11700K
256,Ryzen 7 3800X
257,Core i7-6700K
258,Core i7-12700F
259,Core i9-12900KF
260,Core i9-11900K
261,Core i5-11600K
262,Core i7-13700
263,Core i9-10900K
264,Celeron E1400
265,Core i3-13100
266,Core i5-9600K
267,Ryzen 5 2600X
268,Core i5-10600K
269,Ryzen 3 3100
270,Core i7-10700F
271,Core i5-10400
272,Core i9-12900KS
273,Threadripper 3970X
274,Ryzen 5 3400G
275,Core i9-10850K
276,Core i5-8400
277,Core i7-8700
278,Core i3-10105F
279,Core i7-12700
280,Core i7-11700
281,Core i9-13900
282,Ryzen 9 3950X
283,Ryzen 5 1600 (14nm)
284,Core i5-11400
285,Core i5-6500
286,Core i5-6600K
287,Core i7-7700
288,Core i7-11700F
289,Core i7-6700
290,Xeon E5-2687W V4
291,Core i3-10100
292,Ryzen 7 2700
293,Core i5-7400
294,Core i9-9900KF
295,Core i5-4690K
296,Core i7-3770
297,Core i7-4770
298,Core i7-10700
299,Threadripper 3960X
300,Core i7-11700KF
301,Ryzen 5 1600 (12nm)
302,Core i7-10700KF
303,Core i3-9100F
304,Core i9-13900F
305,Ryzen 3 2200G
306,Core i7-9700
307,Core i5-7600K
308,Core i7-9700F
309,Core i5-12500
310,Core i5-7500
311,Core i7-3770K
312,Ryzen 5 2400G
313,Ryzen 7 1700
314,Core i7-4770K
315,Xeon E5-2699 V4
316,Core i9-10900KF
317,Core i9-11900KF
318,Ryzen 9 3900XT
319,Core i5-4460
320,Core i7-4790
321,Celeron G6900
322,Ryzen 5 1600X
323,Core i5-10600KF
324,Core i3-8100
325,Ryzen 5 3600XT
326,Xeon E5-2660
327,Core i5-3470
328,Ryzen 7 1700X
329,Core i9-10980XE
330,Ryzen 3 3300X
331,Threadripper 2990WX
332,Core i5-11600KF
333,Celeron G4900
334,Ryzen 7 3800XT
335,Celeron G5900
336,Core i5-9400
337,Core i7-2600
338,Core i5-9600KF
339,Core i5-8500
340,Core i5-6400
341,Pentium Gold G7400
342,Core i5-3570K
343,Ryzen 3 1200 (14nm)
344,Core i9-9900KS
345,Core i7-9700KF
346,Core i5-4570
347,Core i5-12600
348,Ryzen 5 1400
349,Athlon 3000G (14nm)
350,Pentium Gold G6400
351,Core i3-4150
352,Threadripper 1920X
353,Ryzen 5 1500X
354,Core 2 Duo E8400
355,Core i9-9980XE
356,Core i3-6100
357,Ryzen 7 1800X
358,FX-8320
359,Core i9-10900X
360,Core i7-4790K
361,Core i9-12900F
362,Core i3-7350K
363,Xeon E5-2650 V4
364,Core i5-4690
365,Core i7-6900K
366,Core i5-4670K
367,Celeron E3400
368,Core i9-12900
369,Core i9-11900F
370,Core i7-2600K
371,Core i5-10500
372,Celeron G5925
373,Core i3-10105
374,Core i3-7100
375,Core i7-6850K
376,Threadripper 1950X
377,Core i3-10300
378,Core i3-9100
379,Core i7-8086K
380,Core i9-10900F
381,Threadripper 2950X
382,Celeron G440
383,Athlon II X2 240
384,Core i5-7600
385,Xeon E5-2640 V3
386,Core i9-7900X
387,Core i9-9900K (Standard Folding Box)
388,Core i9-10900
389,Core i7-2700K
390,Core i5-4440
391,Core i5-11500
392,Core i3-2100
393,Core i5-9500
394,Core i9-9900
395,Core i9-11900
396,Core i5-4440S
397,Core i7-7820X
398,Threadripper 1900X
399,Celeron G4930
400,Core i3-4130
401,Athlon 200GE
402,FX-9590
403,Core i7-7800X
404,Core i5-8600
405,FX-8370
406,Xeon E5-2680 V4
407,Core i7-4930K
408,Ryzen 3 1200 (12nm)
409,Core i5-10600
410,Celeron E3500
411,Core i3-2120
412,Core i9-10920X
413,Threadripper 2970WX
414,Pentium G4400
415,Core i7-7740X
416,FX-8300
417,FX-6350
418,Xeon E5-2660 V4
419,Pentium E2220
420,Core i5-4670
421,Core i3-550
422,Pentium Gold G5400
423,Core i5-9600
424,Core i3-8350K
425,Core i7-6950X
426,Xeon E5-2690 V4
427,Core i7-4820K
428,Pentium G640
429,Core i7-920
430,Core 2 Quad Q9550
431,Core i9-7920X
432,Core i7-7700T
433,Core i3-4330
434,Core i7-3930K
435,Core i5-11600
436,FX-9370
437,FX-6100
438,5350
439,Xeon E5-2650
440,Core i9-7960X
441,Celeron 420
442,Core i3-10320
443,Pentium E5700
444,A4-6300
445,Athlon 220GE
446,Xeon E5-2630 V3
447,Celeron G4900T
448,A8-6600K
449,Core 2 Quad Q9300
450,Core i9-7980XE
451,Core i7-4960X Extreme Edition
452,Core i3-530
453,Threadripper 2920X
454,Opteron 6344
455,Xeon E5-2630
456,Core i7-9800X
457,Xeon E5-2683 V4
458,Athlon 240GE
459,FX-6120
460,Core i5-6402P
461,Core i9-10940X
462,Core 2 Quad Q6600
463,Core i7-4770S
464,Celeron G3920
465,FX-6300
466,Celeron G3900
467,Core i5-7640X
468,FX-4350
469,Xeon E5-1650 V3
470,FX-8350
471,Core i3-3240
472,Pentium G3258
473,Core i7-3770S
474,Xeon E5-1630 V4
475,Core i7-980X Extreme Edition
476,Pentium Gold G6405
477,A12-9800
478,Athlon II X4 640
479,Phenom II X6 1090T Black
480,Core i7-860
481,Xeon E5-2680
482,Pentium Gold G6600
483,Xeon E5-1660 V3
484,Core i5-3450
485,Core i7-10700K Avengers Collector's Edition
486,Core i3-9300
487,Core i7-950
488,Core i7-940
489,A10-9700
490,Celeron G3930
491,Pentium G2020
492,Core i5-3550
493,Xeon E5-2650 V2
494,A6-9500
495,Pentium Gold G5420
496,A10-7850K
497,Core 2 Extreme QX6800
498,Xeon E5-1620 V3
499,Xeon E5-2667 V3
500,Core i7-870
501,Core i7-5775C
502,Core i7-8700T
503,Core i5-750
504,Core i5-7400T
505,Core i5-2400S
506,Xeon E5-2620 V3
507,Core 2 Duo E7500
508,Xeon E5-2620 V4
509,Xeon E5-2695 V2
510,Core i7-3970X Extreme Edition
511,Athlon X4 845
512,Core i3-10305
513,Xeon E3-1230 V3
514,Core i3-4370
515,Core i5-4570T
516,Xeon E-2236
517,Xeon E-2136
518,Core i7-4790T
519,Xeon E3-1230 V2
520,Xeon E3-1230 V5
521,Xeon E5-2640 V4
522,Core i3-6300
523,Core i7-960
524,Xeon E5-4620
525,Core 2 Extreme QX9650
526,Core i5-2320
527,Core i5-4570S
528,Core i3-4130T
529,A6-6400K
530,Core i9-9900X
531,Core i5-650
532,Core i5-7500T
533,Athlon II X4 630
534,Pentium G4500
535,Core i3-540
536,Core 2 Duo E7300
537,Core i3-7320
538,Pentium E6600
539,A6-7400K
540,Xeon E-2124
541,A10-7700K
542,Celeron G1610
543,Core i7-2600S
544,Core i3-3250
545,Pentium Gold G6605
546,Xeon E3-1241 V3
547,Core i9-9960X
548,Core i5-760
549,Celeron G4920
550,Core 2 Extreme QX9775
551,Xeon E5-1660 V2
552,A10-6700
553,Core i5-3450S
554,Core i7-930
555,Celeron 430
556,Celeron G5920
557,Xeon E-2104G
558,A8-6500
559,Core i5-7600T
560,Xeon E3-1270 V3
561,Core i5-3340
562,Xeon E3-1220 V3
563,Xeon E5-1650 V2
564,Pentium E5300
565,Xeon E5-2643 V4
566,Core i7-3960X Extreme Edition
567,Core i3-6098P
568,A4-3300
569,Celeron 440
570,Pentium Gold G6500
571,Pentium Gold G5400T
572,Xeon E5-2670
573,Core 2 Extreme QX6850
574,Pentium G3250
575,Core i9-9940X
576,Pentium G3420
577,A10-7870K
578,Core i7-875K
579,Xeon E-2286G
580,Core i7-965 Extreme Edition
581,Core i3-2120T
582,Xeon E3-1230
583,Xeon E5-1620 V4
584,Core i3-3210
585,Core i5-4670S
586,Xeon E5-2620
587,A10-5700
588,2650
589,A12-9800E
590,Xeon E3-1265L V3
591,Xeon E5-2630L V3
592,Core i7-980
593,A10-9700E
594,Core 2 Quad Q8400
595,Athlon II X4 635
596,Core i7-6800K
597,Athlon II X4 620
598,A6-7470K
599,Xeon E-2176G
600,Pentium G630
601,Core i5-2380P
602,Core i3-560
603,Phenom II X4 820
604,Core 2 Duo E6400
605,Core 2 Duo E7200
606,Xeon E5-2695 V3
607,Xeon E3-1285 V6
608,Core i3-7100T
609,Core 2 Duo E6550
610,Core i5-6600T
611,Xeon E3-1245 V2
612,Xeon E5-2630 V4
613,Xeon E3-1245 V6
614,A4-7300
615,Pentium E2200
616,Xeon E3-1275 V6
617,A4-6300B
618,Xeon E5-2650L
619,Core i3-6300T
620,Core 2 Duo E6750
621,Core i3-4340
622,Xeon E-2274G
623,Pentium G645
624,Xeon E5-2660 V3
625,Xeon E3-1225 V5
626,Core i5-661
627,Core i3-3245
628,A10-5800K
629,Xeon E3-1240 V5
630,Xeon E5-2470V2
631,Xeon E3-1240 V6
632,Pentium E2140
633,Xeon E5-2609
634,Core i3-6100T
635,Opteron 6328
636,Xeon E-2174G
637,Pentium G3430
638,Core i5-3330S
639,Athlon II X3 435
640,Xeon E3-1245
641,Core 2 Duo E4300
642,Pentium G6950
643,Xeon E3-1240 V2
644,Phenom II X4 830
645,Celeron G540
646,Pentium G860
647,Core i3-6320
648,Xeon E3-1270 V6
649,Core i7-860S
650,Core 2 Duo E6850
651,Core i3-2105
652,Xeon E5-2637 V3
653,Xeon E5-2603 V4
654,Pentium E2160
655,Core i3-3220T
656,Xeon E5-2603 V3
657,Core i5-660
658,Core 2 Quad Q9505
659,Core 2 Extreme QX6700
660,Pentium G640T
661,Pentium G2120
662,Xeon E5-2640
663,Pentium G3470
664,Xeon E3-1245 V5
665,Xeon E-2146G
666,Core 2 Duo E6320
667,Celeron G530
668,Pentium G4560T
669,Athlon X2 340
670,Pentium G4620
671,Xeon E-2124G
672,Phenom II X4 975
673,Xeon E5-2643 V3
674,Core i3-2125
675,Pentium G630T
676,Xeon E3-1280 V6
677,Core i5-670
678,A4-3400
679,Xeon E3-1225 V2
680,Xeon E5-2665
681,Pentium G3460
682,Core i3-7300T
683,Core 2 Duo E4600
684,Core 2 Extreme X6800
685,Opteron 6320
686,Xeon E3-1220 V6
687,Xeon E-2126G
688,Athlon II X2 220
689,Core 2 Duo E4400
690,Pentium E6500
691,Core 2 Duo E7600
692,Core 2 Duo E8300
693,Xeon E3-1220
694,Pentium G2140
695,Xeon E5-2603
696,Xeon E3-1220 V5
697,Xeon E3-1225 V6
698,Pro A10-7850B
699,Xeon E-2134
700,Pentium G870
701,Xeon E3-1275
702,Xeon E5-2643 V2
703,Xeon E5-2623 V3
704,Xeon E3-1230 V6
705,Core 2 Duo E6700
706,Xeon E5-2609 V4
707,Celeron E3300
708,Xeon E3-1235
709,Xeon E3-1275 V2
710,Xeon E5-2603 V2
711,Pentium G4600
712,Core 2 Duo E6420
713,Core i5-750S
